ABC,MCMC,SMC
0.24672,0.478156,0.348172
0.210141,0.432179,0.384005
0.285357,0.431734,0.367125
0.370595,0.431219,0.336967
0.459133,0.441093,0.433968
0.228145,0.448986,0.35043
0.400865,0.427693,0.377067
0.655266,0.429279,0.372755
0.238051,0.428592,0.367161
0.364929,0.430956,0.367382
0.285322,0.459629,0.331612
0.360604,0.427331,0.327873
0.369898,0.428613,0.332013
0.244075,0.425457,0.328304
0.234876,0.425345,0.330063
0.396956,0.429534,0.33047
0.329689,0.429288,0.335542
0.453753,0.461314,0.337445
0.319882,0.438946,0.342374
0.48977,0.432751,0.332111
0.510446,0.425609,0.342884
0.730538,0.452002,0.335688
0.239682,0.44267,0.342423
0.216959,0.499847,0.398948
0.366012,0.434765,0.354429
0.345737,0.474798,0.3948
0.549199,0.491375,0.455387
0.50765,0.434947,0.340776
0.235534,0.427021,0.330556
0.332718,0.426738,0.343019
0.276168,0.427704,0.332162
0.260323,0.427208,0.332272
17.774117,0.487263,0.402382
0.222793,0.473773,0.34297
0.287962,0.430021,0.342005
0.419016,0.441839,0.371762
0.361262,0.48243,0.386493
0.265161,0.564994,0.363971
0.459047,0.480386,0.348497
0.331912,0.468307,0.371632
0.302865,0.452093,0.359825
0.295428,0.531387,0.356147
0.229353,0.465088,0.350281
0.239745,0.479523,0.358598
0.381934,0.445382,0.365182
0.364402,0.446209,0.365746
0.232866,0.467731,0.349476
0.270968,0.478373,0.352746
0.262927,0.45877,0.342776
0.28488,0.43491,0.34263
0.496583,0.445047,0.343264
0.4231,0.441724,0.402179
0.644841,0.444535,0.428404
0.221468,0.448261,0.379002
0.562102,0.464488,0.365844
0.334253,0.475685,0.342791
0.539876,0.474062,0.398477
0.289707,0.440018,0.37496
2.425229,0.434861,0.371369
0.316293,0.445208,0.344108
0.523644,0.434232,0.395287
0.328864,0.494386,0.352324
0.651917,0.433745,0.349571
1.938873,0.43732,0.332512
0.375585,0.429631,0.344237
0.350276,0.429369,0.33821
0.280081,0.431995,0.329021
1.704221,0.4371,0.370705
0.315999,0.43749,0.332501
1.457237,0.465572,0.332002
0.634101,0.432187,0.370758
0.340734,0.452589,0.349372
0.650973,0.460611,0.340761
0.39593,0.448904,0.374721
0.273847,0.438627,0.346382
0.336276,0.435597,0.349992
0.349636,0.428346,0.345573
0.282558,0.430097,0.34181
0.331522,0.428204,0.37918
0.276667,0.430159,0.367054
